,Title,File Type,Last Modified Date,Description,URL
0,Age and Sex Demographics at Census Tract Level - Central Ohio 2016 -- ACS_16_5YR_S0101_with_ann,CSV,"May 2, 2018 (Last updated by provider)",This dataset identifies the age data categorized by sex per each census tract for Central Ohio region. This dataset is for year 2016.,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/963b18d4_790b_43e3_9124_d9ebc8aedbcc
1,Aggregated Travel Time to Work - Central Ohio 2016 -- ACS_15_5YR_B08131_with_ann,CSV,"May 2, 2018 (Last updated by provider)",This dataset identifies the aggregated travel time taken by the residents of the central Ohio who work inside and outside the county of their residence.,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/cb07999d_dda5_4cb8_ab0a_38ce73b25e7a
2,Behavioral Risk Factor Surveillance System (BRFSS) Prevalence Data (2011 to present) -- BRFSS,CSV,"Feb 26, 2018 (Last updated by provider)","2011 to present. BRFSS combined land line and cell phone prevalence data. BRFSS is a continuous, state-based surveillance system that collects information about modifiable risk factors for chronic diseases and other leading causes of death....",https://discovery.smartcolumbusos.com/dataset/center_for_disease_control/a030c6cb_6a8a_416e_b337_36c3e275f40c
3,Bridge Inventory -- WGIS,CSV,"Apr 9, 2018 (Last updated by provider)",This dataset identifies the ODOT maintained bridge inventory.,https://discovery.smartcolumbusos.com/dataset/odot/e3343a8d_4125_4243_b304_461a2e24af64
4,Cell Coverage Dark Spots - Columbus 2018 -- Urban Infrastructure,CSV,"May 2, 2018 (Last updated by provider)",This Geotab dataset is intended to show where there are issues with cellular coverage (regardless of carrier). The dataset is updated on a monthly basis. Contact smartcity@geotab.com for more details.,https://discovery.smartcolumbusos.com/dataset/geotab/fd00e048_d458_47c8_91eb_bbd9fb225b89
5,Central Ohio Families with SNAP Benefits at Census Tract Level - 2016 -- ACS_16_5YR_S2201_with_ann,CSV,"May 2, 2018 (Last updated by provider)",This data identifies the number of families with SNAP benefits out of the total families available in each census tract for year 2016,https://discovery.smartcolumbusos.com/dataset/united_states_census_bureau/0d612fcc_f8c7_49a9_bc1a_e4045e52c363
6,Central Ohio Points of Interest,GEOJSON,Date not provided (Last updated by provider),This data presents the locations and metadata of Crime Camera locations owned by the city of Columbus Ohio.,https://discovery.smartcolumbusos.com/dataset/morpc/central_ohio_points_of_interest
7,City of Columbus maintained bridges' width and vertical clearances,CSV,"May 14, 2018 (Last updated by provider)",These datasets identify the widths and vertical clearances of the bridges maintained by the city of Columbus.,https://discovery.smartcolumbusos.com/dataset/city_of_columbus/1e22ea8e_f126_46ae_9726_d50387fa3eeb
8,City of Columbus maintained bridges' width and vertical clearances,CSV,"May 14, 2018 (Last updated by provider)",These datasets identify the widths and vertical clearances of the bridges maintained by the city of Columbus.,https://discovery.smartcolumbusos.com/dataset/city_of_columbus/d56c4bdc_4432_43c1_9faa_e905b7f7b796
9,COGO Trip Data -- 201802,CSV,"Mar 15, 2018 (Last updated by provider)",This dataset identifies the CoGo Trip data including pickup and drop-off locations of different CoGo trips.,https://discovery.smartcolumbusos.com/dataset/cogo/4053a9a2_fc8f_437c_af56_d104d4b5d63c
10,Columbus Annual Average Daily Traffic -- Columbus TCDS (AADT),CSV,Date not provided (Last updated by provider),This data is located through a Transportation Data Management System search. The procedure for replicating this search is as follows: 1. The source page consists of a detail/search panel on the left half and a map panel on the right half. ...,https://discovery.smartcolumbusos.com/dataset/morpc/cbcf9372_9724_498a_97c6_b0ebf3241252
11,Columbus City Parking Violations and Ticket Status 2013-2018,CSV,"Apr 17, 2018 (Last updated by provider)","This dataset covers the parking violations identified by Parking Enforcement Officer (PEO) and the tickets issued for those violations. Also, the data identifies the status of the ticket (e.g., paid, dismissed, etc.,) This dataset covers ye...",https://discovery.smartcolumbusos.com/dataset/conduent/1b0b4736_98b1_4136_8a78_c9e6e2ea62cc
12,Columbus City Parking Violations and Ticket Status 2013-2018 -- COLUEXTRACT,CSV,"Apr 17, 2018 (Last updated by provider)","This dataset covers the parking violations identified by Parking Enforcement Officer (PEO) and the tickets issued for those violations. Also, the data identifies the status of the ticket (e.g., paid, dismissed, etc.,) This dataset covers ye...",https://discovery.smartcolumbusos.com/dataset/conduent/160c98a1_ad56_4658_8553_5ee8e7d0d953
13,Columbus Crime Camera Locations,GEOJSON,Date not provided (Last updated by provider),This data presents the locations and metadata of Crime Camera locations owned by the city of Columbus Ohio.,https://discovery.smartcolumbusos.com/dataset/city_of_columbus/columbus_crime_camera_locations
14,Columbus Emergency Response Facilities,GEOJSON,Date not provided (Last updated by provider),"This dataset presents the information about emergency response facilities located in Columbus, Ohio.",https://discovery.smartcolumbusos.com/dataset/urban_regional_analysis/columbus_emergency_response_facilities
15,Columbus Licensed Food Locations,CSV,Date not provided (Last updated by provider),This dataset identifies the food stores licensed by Columbus Public Health.,https://discovery.smartcolumbusos.com/dataset/columbus_public_health/b50af90d_9382_4c9c_9943_ce35bf6dc657
16,Columbus Medical Facilities,GEOJSON,Date not provided (Last updated by provider),"This dataset presents the information about medical facilities available in Columbus, Ohio.",https://discovery.smartcolumbusos.com/dataset/urban_regional_analysis/columbus_medical_facilities
17,Columbus Parking Meters Inventory Data,CSV,"May 9, 2018 (Last updated by provider)","This dataset lists out the parking meters inventory data including zone, sub area, latitude and longitude, meter number, configuration ID, and route numbers.",https://discovery.smartcolumbusos.com/dataset/ips_group/d9b11b8f_67f3_48c4_8831_0f22d93166ce
18,Columbus Parking Meters Operations Policy,CSV,"May 8, 2018 (Last updated by provider)","This dataset covers the operation policies including hours of operation, maximum parking time, charge per time and other details based on the configuration ID of the meters.",https://discovery.smartcolumbusos.com/dataset/ips_group/ce5fd1c9_c07c_487b_9e53_d8e986e2f32d
19,Columbus Parking Meters Transactions Data 2015 - 2017,CSV,"May 9, 2018 (Last updated by provider)",This datasets identifies the transactions of parking meters in Columbus region for the years 2015 thru 2017.,https://discovery.smartcolumbusos.com/dataset/ips_group/7ab08634_3eda_4b05_a754_5eb6cab31326
20,Connected Electric Autonomous Vehicle Locations,JSON,"Sep 30, 2019 7:47 AM (Last Ingested)","A rolling snapshot of data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles traveled,...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_locations
21,Connected Electric Autonomous Vehicle Locations (Historical),CSV,Date not provided (Last updated by provider),"A historical record of the data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles trav...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_locations_historical
22,Connected Electric Autonomous Vehicle Route Segments,JSON,Date not provided (Last updated by provider),"A rolling snapshot of data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles traveled,...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_route_segments
23,Connected Electric Autonomous Vehicle Route Segments (Historical),CSV,Date not provided (Last updated by provider),"A historical record of the data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles trav...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_route_segments_historical
24,Connected Electric Autonomous Vehicle Routes,JSON,Date not provided (Last updated by provider),"A rolling snapshot of data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles traveled,...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_routes
25,Connected Electric Autonomous Vehicle Routes (Historical),CSV,Date not provided (Last updated by provider),"A historical record of the data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles trav...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_routes_historical
26,Connected Electric Autonomous Vehicle Shift Segments,JSON,Date not provided (Last updated by provider),"A rolling snapshot of data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles traveled,...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_shift_segments
27,Connected Electric Autonomous Vehicle Shift Segments (Historical),CSV,Date not provided (Last updated by provider),"A historical record of the data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles trav...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_shift_segments_historical
28,Connected Electric Autonomous Vehicle Shifts,JSON,Date not provided (Last updated by provider),"A rolling snapshot of data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles traveled,...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_shifts
29,Connected Electric Autonomous Vehicle Shifts (Historical),CSV,Date not provided (Last updated by provider),"A historical record of the data collected by the connected electric autonomous vehicles operating in the Columbus area. The data includes vehicle locations, routes traveled, shifts and shift segments. Insights including passenger miles trav...",https://discovery.smartcolumbusos.com/dataset/may_mobility/connected_electric_autonomous_vehicle_shifts_historical
30,COTA Calendar,CSV,"Jun 11, 2018 (Last updated by provider)",This dataset identifies the type of transit service active on different days of week between 05/07/2018 -09/02/2018,https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/cc622576_270d_4190_8eb5_01ed2c75bef5
31,COTA Calendar -- Services Description,CSV,"Jun 11, 2018 (Last updated by provider)",This dataset identifies the type of transit service active on different days of week between 05/07/2018 -09/02/2018,https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/aa34e44e_97a8_451a_ad0a_7cc877f5e6bd
32,COTA On-time Performance Data,CSV,Date not provided (Last updated by provider),This dataset presents information about the scheduled and actual performance of COTA transit services across all COTA routes of service. This dataset spans from 01/01/18-09/24/18,https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/1e8d6bf7_9869_4f8a_987f_3112e97be1ad
33,COTA Real Time Bus Locations,JSON,"Oct 21, 2019 12:20 PM (Last Ingested)",This dataset is a GTFS real time datastream of the COTA bus locations.,https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/cota_stream
34,COTA Transit Fares 2018 -- Lines & Fares,CSV,Date not provided (Last updated by provider),This dataset identifies fares of each transit line for the year 2018.,https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/b4841ce4_89e5_4c90_abed_fee3aa8ff030
35,COTA Transit GTFS Feed from CURA 2017-2018 -- COTA Transit GTFS Feed - CURA,CSV,Date not provided (Last updated by provider),,https://discovery.smartcolumbusos.com/dataset/urban_regional_analysis/94f31261_dd11_45d0_8db8_6cf157684d2c
36,COTA Transit Lines -- cotalinesjan18,CSV,"Apr 24, 2018 (Last updated by provider)",This dataset identifies the transit routes served by COTA. This data is reflective of transit services offered in 2018.,https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/2a329570_33d7_4cde_818d_6ef323e68875
37,COTA Transit Route Shapes,CSV,"Jun 11, 2018 (Last updated by provider)",This dataset represents the shape of COTA routes as a sequence of the latitude and longitude points,https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/c393685f_0d58_45a4_9890_9f58e9f7ba25
38,COTA Transit Stops -- January 2018 - August 2018,CSV,"Oct 2, 2018 (Last updated by provider)","This data identifies the transit stops on each COTA transit line. January stops dataset provides details about COTA stops from 01/01/2018 to 08/31/2018 Similarly, September stops dataset provides bus stops information from 09/01/2018 - 12/...",https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/57275553_f34b_4ce7_ad1a_0361fa261cb4
39,COTA Trips,CSV,"Jun 11, 2018 (Last updated by provider)",This dataset identifies the number of trips that happened per day on each of their Routes.,https://discovery.smartcolumbusos.com/dataset/central_ohio_transit_authority/8997475d_105b_47dd_adc5_14d618423878
